episode,vehicle_id,vehicle_type,start_position,destination,commute_time,final_satisfaction
4,2348539772560,van,east,west,328,8.200000000000006
4,2348540281744,truck,east,west,320,10.0
4,2348522169104,truck,east,south,501,2.8000000000000025
4,2348540349456,van,south,west,471,2.400000000000002
4,2348540295376,van,north,west,342,7.600000000000007
4,2348540285072,truck,west,north,395,7.000000000000006
4,2348540349776,truck,south,west,498,3.0000000000000027
4,2348540282832,truck,south,north,452,4.800000000000004
4,2348540293264,car,south,east,487,0.0
4,2348540234064,van,north,east,280,10.0
4,2348539721872,truck,north,west,375,7.800000000000007
4,2348539712720,car,west,south,387,0.0
4,2348539718544,truck,south,east,361,8.400000000000006
4,2348540242512,truck,north,south,320,10.0
4,2348540284112,van,east,south,590,0.0
4,2348539718800,van,west,south,546,0.0
4,2348539805776,truck,west,north,630,0.0
4,2348539711184,truck,east,north,573,2.0539125955565396e-15
4,2348540232400,truck,east,south,525,1.8000000000000018
