episode,tick,light_state,waiting_vehicles,moving_vehicles,arrived_vehicles,avg_satisfaction
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
2,1000,"NS:green,EW:red",0,2,17,0.0
