episode,vehicle_id,vehicle_type,start_position,destination,commute_time,final_satisfaction
3,2348521995472,car,south,east,120,10.0
3,2348522176656,van,north,west,280,10.0
3,2348522183440,truck,south,east,320,10.0
3,2348522192400,truck,south,north,320,10.0
3,2348522174480,van,south,north,280,10.0
3,2348522161680,van,south,north,280,10.0
3,2348540379600,car,north,west,160,8.400000000000006
3,2348521994576,van,north,east,280,10.0
3,2348521987088,truck,south,north,320,10.0
3,2348522189328,van,east,north,584,0.0
3,2348522168464,truck,east,north,587,0.0
3,2348522163664,truck,east,south,571,2.0539125955565396e-15
3,2348522169232,truck,east,west,536,1.400000000000002
3,2348522162384,truck,west,north,508,2.6000000000000023
3,2348540273936,van,south,north,317,8.600000000000005
3,2348540264592,truck,south,north,387,7.400000000000007
3,2348540271056,truck,north,east,377,7.800000000000007
3,2348540272592,van,east,west,425,4.200000000000004
3,2348540276240,van,east,south,425,4.200000000000004
