episode,tick,light_state,waiting_vehicles,moving_vehicles,arrived_vehicles,avg_satisfaction
1,0,"NS:green,EW:red",0,0,0,0.0
1,1,"NS:green,EW:red",0,0,0,0.0
1,2,"NS:green,EW:red",0,0,0,0.0
1,3,"NS:green,EW:red",0,0,0,0.0
1,4,"NS:green,EW:red",0,0,0,0.0
1,5,"NS:green,EW:red",0,0,0,0.0
1,6,"NS:green,EW:red",0,0,0,0.0
1,7,"NS:green,EW:red",0,0,0,0.0
1,8,"NS:green,EW:red",0,0,0,0.0
1,9,"NS:green,EW:red",0,0,0,0.0
1,10,"NS:green,EW:red",0,0,0,0.0
1,11,"NS:green,EW:red",0,0,0,0.0
1,12,"NS:green,EW:red",0,0,0,0.0
1,13,"NS:green,EW:red",0,0,0,0.0
1,14,"NS:green,EW:red",0,0,0,0.0
1,15,"NS:green,EW:red",0,0,0,0.0
1,16,"NS:green,EW:red",0,0,0,0.0
1,17,"NS:green,EW:red",0,0,0,0.0
1,18,"NS:green,EW:red",0,0,0,0.0
1,19,"NS:green,EW:red",0,0,0,0.0
1,20,"NS:green,EW:red",0,0,0,0.0
1,21,"NS:green,EW:red",0,0,0,0.0
1,22,"NS:green,EW:red",0,1,0,10.0
1,23,"NS:green,EW:red",0,1,0,10.0
1,24,"NS:green,EW:red",0,1,0,10.0
1,25,"NS:green,EW:red",0,1,0,10.0
1,26,"NS:green,EW:red",0,1,0,10.0
1,27,"NS:green,EW:red",0,1,0,10.0
1,28,"NS:green,EW:red",0,1,0,10.0
1,29,"NS:green,EW:red",0,1,0,10.0
1,30,"NS:green,EW:red",0,1,0,10.0
1,31,"NS:green,EW:red",0,1,0,10.0
1,32,"NS:green,EW:red",0,1,0,10.0
1,33,"NS:green,EW:red",0,1,0,10.0
1,34,"NS:green,EW:red",0,1,0,10.0
1,35,"NS:green,EW:red",0,1,0,10.0
1,36,"NS:green,EW:red",0,1,0,10.0
1,37,"NS:green,EW:red",0,1,0,10.0
1,38,"NS:green,EW:red",0,1,0,10.0
1,39,"NS:green,EW:red",0,1,0,10.0
1,40,"NS:green,EW:red",0,1,0,10.0
